TimeStep;Np;Nbound;Nfixed;Nmoving;Nfloat;Nfluid
0;2975;1031;1031;0;0;1944

Part;Time;Count;Pos_Xmin;Pos_Xmax;Pos_Xmean;Pos_Ymin;Pos_Ymax;Pos_Ymean;Pos_Zmin;Pos_Zmax;Pos_Zmean;Idp_min;Idp_max;Idp_mean;Vel_min;Vel_max;Vel_mean;Vel_Xmin;Vel_Xmax;Vel_Xmean;Vel_Ymin;Vel_Ymax;Vel_Ymean;Vel_Zmin;Vel_Zmax;Vel_Zmean;Rhop_min;Rhop_max;Rhop_mean;Mass_min;Mass_max;Mass_mean;Press_min;Press_max;Press_mean;Type_min;Type_max;Type_mean;Acec_min;Acec_max;Acec_mean;Acec_Xmin;Acec_Xmax;Acec_Xmean;Acec_Ymin;Acec_Ymax;Acec_Ymean;Acec_Zmin;Acec_Zmax;Acec_Zmean;CellOffSpring_min;CellOffSpring_max;CellOffSpring_mean;GradVel_min;GradVel_max;GradVel_mean;Qfxx_min;Qfxx_max;Qfxx_mean;Qfxy_min;Qfxy_max;Qfxy_mean;Qfxz_min;Qfxz_max;Qfxz_mean;Qfyy_min;Qfyy_max;Qfyy_mean;Qfyz_min;Qfyz_max;Qfyz_mean;Qfzz_min;Qfzz_max;Qfzz_mean;StrainDot_min;StrainDot_max;StrainDot_mean;StrainDot_Xmin;StrainDot_Xmax;StrainDot_Xmean;StrainDot_Ymin;StrainDot_Ymax;StrainDot_Ymean;StrainDot_Zmin;StrainDot_Zmax;StrainDot_Zmean;VonMises3D_min;VonMises3D_max;VonMises3D_mean;
0;  0.000000000000E+00;2975; -2.199999988079E-01;  2.279999971390E+00;  7.239663841494E-01;  9.999999776483E-03;  9.999999776483E-03;  9.999999776483E-03; -4.199999868870E-01;  4.000000059605E-01; -1.411764661805E-04;  0.000000000000E+00;  2.974000000000E+03;  1.487000000000E+03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  1.000000000000E+03;  1.000000000000E+03;  1.000000000000E+03;  4.000000059605E-01;  4.000000059605E-01;  4.000000059605E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  3.000000000000E+00;  1.960336134454E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  1.000000000000E+04;  1.000000000000E+04;  1.000000000000E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  1.000000000000E+04;  1.000000000000E+04;  1.000000000000E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  1.000000000000E+04;  1.000000000000E+04;  1.000000000000E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;
1;  1.161233502277E-03;2975; -2.199999988079E-01;  2.279999971390E+00;  7.239664215400E-01;  9.999999776483E-03;  9.999999776483E-03;  9.999999776483E-03; -4.199999868870E-01;  4.000000059605E-01; -1.411764661778E-04;  0.000000000000E+00;  2.974000000000E+03;  1.487000000000E+03;  0.000000000000E+00;  4.425009042138E-02;  3.157617859234E-03; -1.215818990022E-02;  1.034702640027E-02;  9.202152240680E-05;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -4.424709826708E-02;  4.424709826708E-02; -7.731561825871E-11;  1.000000000000E+03;  1.003951416016E+03;  1.000756584309E+03;  4.000000059605E-01;  4.015899598598E-01;  4.003085421514E-01;  0.000000000000E+00;  3.272240966797E+03;  6.215427077146E+02;  0.000000000000E+00;  3.000000000000E+00;  1.960336134454E+00;  0.000000000000E+00;  6.004177707071E+01;  4.784822524404E+00; -2.048229408264E+01;  1.790647315979E+01;  1.551611223429E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.003559112549E+01;  6.003559494019E+01; -5.781998077188E-08;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -3.927342966199E-02;  4.898793101311E-01;  2.815344470195E-02;  9.999341796875E+03;  1.000050390625E+04;  9.999974661239E+03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.864468306303E-02;  2.754614502192E-02; -3.082444318734E-04;  1.000000000000E+04;  1.000000000000E+04;  1.000000000000E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  9.995347656250E+03;  1.000000000000E+04;  9.999731551668E+03;  0.000000000000E+00;  4.312742148360E-01;  3.170076356340E-02; -4.882115498185E-02;  6.649605929852E-02;  2.535141220635E-03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.274047190236E-05;  4.272692501545E-01;  2.561830345484E-02;  0.000000000000E+00;  1.614732788086E+03;  8.585864257347E+01;
2;  2.222292168310E-03;2975; -2.199999988079E-01;  2.279999971390E+00;  7.239666302705E-01;  9.999999776483E-03;  9.999999776483E-03;  9.999999776483E-03; -4.199999868870E-01;  4.000000059605E-01; -1.411764661855E-04;  0.000000000000E+00;  2.974000000000E+03;  1.487000000000E+03;  0.000000000000E+00;  7.692134538377E-02;  1.039054242798E-02; -4.698106274009E-02;  4.126664251089E-02;  3.218800550306E-04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -7.625446468592E-02;  7.625445723534E-02; -1.145723707131E-10;  1.000000000000E+03;  1.006995605469E+03;  1.001314670082E+03;  4.000000059605E-01;  4.028634428978E-01;  4.005553728793E-01;  0.000000000000E+00;  5.792945800781E+03;  1.080205990567E+03;  0.000000000000E+00;  3.000000000000E+00;  1.960336134454E+00;  0.000000000000E+00;  5.221139304118E+01;  8.911257296631E+00; -4.853501129150E+01;  4.483973693848E+01;  3.498972162742E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -4.488092041016E+01;  4.488092422485E+01; -1.898923960462E-08;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.473856121302E-01;  9.475540518761E-01;  6.909711707528E-02;  9.995283203125E+03;  1.000315234375E+04;  9.999829510898E+03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.249098852277E-01;  1.634162664413E-01; -2.287307693812E-03;  1.000000000000E+04;  1.000000000000E+04;  1.000000000000E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  9.982285156250E+03;  1.000000195313E+04;  9.998705356158E+03;  0.000000000000E+00;  7.232377814732E-01;  8.064618106752E-02; -1.808894425631E-01;  2.873319387436E-01;  1.004454049896E-02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -4.446051898412E-04;  6.665430665016E-01;  5.905257674754E-02;  0.000000000000E+00;  7.851422851563E+03;  5.201572671505E+02;
3;  3.018057825541E-03;2975; -2.199999988079E-01;  2.279999971390E+00;  7.239669841373E-01;  9.999999776483E-03;  9.999999776483E-03;  9.999999776483E-03; -4.199999868870E-01;  4.000000059605E-01; -1.411764649344E-04;  0.000000000000E+00;  2.974000000000E+03;  1.487000000000E+03;  0.000000000000E+00;  1.027403353304E-01;  1.826640995938E-02; -8.315268158913E-02;  7.458374649286E-02;  5.743420814182E-04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -9.056983143091E-02;  9.056982398033E-02; -1.600102808795E-10;  1.000000000000E+03;  1.009112609863E+03;  1.001712731564E+03;  4.000000059605E-01;  4.038193523884E-01;  4.007405268445E-01;  0.000000000000E+00;  7.546041992188E+03;  1.407543153032E+03;  0.000000000000E+00;  3.000000000000E+00;  1.960336134454E+00;  0.000000000000E+00;  6.401839383642E+01;  1.208994792938E+01; -6.274819183350E+01;  6.081701278687E+01;  5.112191803753E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -4.320530319214E+01;  4.320530700684E+01;  3.628892420024E-09;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -2.698076367378E-01;  9.932887554169E-01;  8.544450658826E-02;  9.988009765625E+03;  1.000745996094E+04;  9.999579147847E+03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -3.132523596287E-01;  3.693732321262E-01; -5.988091347855E-03;  1.000000000000E+04;  1.000000000000E+04;  1.000000000000E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  9.975107421875E+03;  1.000001074219E+04;  9.997673967306E+03;  0.000000000000E+00;  7.033114284587E-01;  1.102196193534E-01; -3.170856833458E-01;  5.491496324539E-01;  1.885880981754E-02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.631503459066E-03;  4.737504720688E-01;  6.658569705446E-02;  0.000000000000E+00;  1.192333691406E+04;  9.833958411778E+02;
4;  4.078991058595E-03;2975; -2.199999988079E-01;  2.279999971390E+00;  7.239678074743E-01;  9.999999776483E-03;  9.999999776483E-03;  9.999999776483E-03; -4.199999868870E-01;  4.000000059605E-01; -1.411764661807E-04;  0.000000000000E+00;  2.974000000000E+03;  1.487000000000E+03;  0.000000000000E+00;  1.477995747447E-01;  3.197316338037E-02; -1.297182291746E-01;  1.234790682793E-01;  9.910158218817E-04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.059247702360E-01;  1.059247702360E-01; -7.947076572909E-11;  1.000000000000E+03;  1.011537353516E+03;  1.002221373999E+03;  4.000000059605E-01;  4.050945341587E-01;  4.009874245399E-01;  0.000000000000E+00;  9.553925781250E+03;  1.825936985646E+03;  0.000000000000E+00;  3.000000000000E+00;  1.960336134454E+00;  0.000000000000E+00;  7.961643971669E+01;  1.599822063680E+01; -6.940027618408E+01;  7.714379882813E+01;  7.366859009111E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -5.143659973145E+01;  5.143658828735E+01;  1.356395546855E-07;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -3.976846933365E-01;  1.254066586494E+00;  1.122382853513E-01;  9.971152343750E+03;  1.001654980469E+04;  9.998982274160E+03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -7.319083809853E-01;  7.911818623543E-01; -1.455338462899E-02;  1.000000000000E+04;  1.000000000000E+04;  1.000000000000E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  9.971491210938E+03;  1.000004003906E+04;  9.996133600315E+03;  0.000000000000E+00;  9.483237509358E-01;  1.682152022883E-01; -4.899398088455E-01;  9.472761154175E-01;  3.413200397170E-02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -2.132368087769E-02;  4.723996222019E-01;  7.810628128249E-02;  0.000000000000E+00;  1.380184863281E+04;  1.664586578922E+03;
5;  5.139727038246E-03;2975; -2.199999988079E-01;  2.279999971390E+00;  7.239691186007E-01;  9.999999776483E-03;  9.999999776483E-03;  9.999999776483E-03; -4.199999868870E-01;  4.000000059605E-01; -1.411764655424E-04;  0.000000000000E+00;  2.974000000000E+03;  1.487000000000E+03;  0.000000000000E+00;  1.972134835752E-01;  4.868292085059E-02; -1.722916066647E-01;  1.762458682060E-01;  1.497458127120E-03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.387002170086E-01;  1.387001872063E-01;  9.791260508256E-11;  1.000000000000E+03;  1.013319030762E+03;  1.002689521731E+03;  4.000000059605E-01;  4.063707590103E-01;  4.012343442841E-01;  0.000000000000E+00;  1.102933886719E+04;  2.210830271283E+03;  0.000000000000E+00;  3.000000000000E+00;  1.960336134454E+00;  0.000000000000E+00;  9.830944938600E+01;  1.944705836061E+01; -7.575335693359E+01;  9.556259155273E+01;  1.005468776353E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.229953765869E+01;  6.229953002930E+01;  9.617227330919E-08;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -4.955430030823E-01;  1.730717301369E+00;  1.542039718302E-01;  9.946103515625E+03;  1.002879296875E+04;  9.998019122571E+03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.298884510994E+00;  1.336932539940E+00; -2.653465374050E-02;  1.000000000000E+04;  1.000000000000E+04;  1.000000000000E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  9.967708007813E+03;  1.000010253906E+04;  9.994175633206E+03;  0.000000000000E+00;  1.390405767825E+00;  2.431175984130E-01; -6.228010058403E-01;  1.335128188133E+00;  5.258967292518E-02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -9.561240673065E-03;  6.462383866310E-01;  1.016142990747E-01;  0.000000000000E+00;  1.553082910156E+04;  2.529719960358E+03;
6;  6.200262651943E-03;2975; -2.199999988079E-01;  2.279999971390E+00;  7.239710307325E-01;  9.999999776483E-03;  9.999999776483E-03;  9.999999776483E-03; -4.199999868870E-01;  4.000000059605E-01; -1.411764592666E-04;  0.000000000000E+00;  2.974000000000E+03;  1.487000000000E+03;  0.000000000000E+00;  2.428214804525E-01;  6.760765183793E-02; -2.150371223688E-01;  2.350921332836E-01;  2.133998999594E-03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.454730629921E-01;  1.454730778933E-01;  1.244475775465E-10;  1.000000000000E+03;  1.014383850098E+03;  1.003111461418E+03;  4.000000059605E-01;  4.076488018036E-01;  4.014813066330E-01;  0.000000000000E+00;  1.191107519531E+04;  2.557199293718E+03;  0.000000000000E+00;  3.000000000000E+00;  1.960336134454E+00;  0.000000000000E+00;  1.192731014788E+02;  2.249461171957E+01; -8.586959838867E+01;  1.170624160767E+02;  1.354547532026E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -3.836307907104E+01;  3.836304855347E+01; -1.690963625212E-07;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.141439676285E-01;  2.372037887573E+00;  1.936107940348E-01;  9.913522460938E+03;  1.004349414063E+04;  9.996625578059E+03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.979741096497E+00;  1.933866024017E+00; -4.086021943170E-02;  1.000000000000E+04;  1.000000000000E+04;  1.000000000000E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  9.960379882813E+03;  1.000021582031E+04;  9.991759900867E+03;  0.000000000000E+00;  1.764099036166E+00;  3.249409178723E-01; -7.291830182076E-01;  1.744345307350E+00;  7.426572152613E-02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.578841544688E-02;  8.343583345413E-01;  1.193450723851E-01;  0.000000000000E+00;  1.861864843750E+04;  3.628264845259E+03;
7;  7.260624025189E-03;2975; -2.199999988079E-01;  2.279999971390E+00;  7.239737127358E-01;  9.999999776483E-03;  9.999999776483E-03;  9.999999776483E-03; -4.199999868870E-01;  4.000000059605E-01; -1.411764648400E-04;  0.000000000000E+00;  2.974000000000E+03;  1.487000000000E+03;  0.000000000000E+00;  3.058256918213E-01;  8.823684313924E-02; -2.609496712685E-01;  2.986585199833E-01;  2.956725745082E-03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.392902880907E-01;  1.392903327942E-01;  1.432213896313E-10;  1.000000000000E+03;  1.015444152832E+03;  1.003498918744E+03;  4.000000059605E-01;  4.089292287827E-01;  4.017283209432E-01;  0.000000000000E+00;  1.279420605469E+04;  2.874549986763E+03;  0.000000000000E+00;  3.000000000000E+00;  1.960336134454E+00;  0.000000000000E+00;  1.386615532098E+02;  2.575677452483E+01; -9.235369110107E+01;  1.370632781982E+02;  1.797330468322E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -2.099247550964E+01;  2.099247741699E+01; -2.428938665509E-07;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.980611085892E-01;  2.922476053238E+00;  2.199293572474E-01;  9.873203125000E+03;  1.006023437500E+04;  9.994726377035E+03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -2.696297883987E+00;  2.524518728256E+00; -5.703138615097E-02;  1.000000000000E+04;  1.000000000000E+04;  1.000000000000E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  9.947327148438E+03;  1.000040820313E+04;  9.989202298122E+03;  0.000000000000E+00;  2.270273163714E+00;  4.092191320350E-01; -8.160440921783E-01;  2.180782794952E+00;  1.001008449962E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -2.380717359483E-02;  8.032943010330E-01;  1.198285124465E-01;  0.000000000000E+00;  2.462408007813E+04;  4.824118206929E+03;
8;  8.055762106407E-03;2975; -2.199999988079E-01;  2.279999971390E+00;  7.239763602655E-01;  9.999999776483E-03;  9.999999776483E-03;  9.999999776483E-03; -4.199999868870E-01;  4.000000059605E-01; -1.411764710781E-04;  0.000000000000E+00;  2.974000000000E+03;  1.487000000000E+03;  0.000000000000E+00;  3.534484284245E-01;  1.046163060300E-01; -3.056599199772E-01;  3.470280766487E-01;  3.726198341885E-03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.208473369479E-01;  1.208473145962E-01;  1.608839845287E-10;  1.000000000000E+03;  1.016250000000E+03;  1.003772053305E+03;  4.000000059605E-01;  4.098912775517E-01;  4.019136079420E-01;  0.000000000000E+00;  1.346179492188E+04;  3.097794685091E+03;  0.000000000000E+00;  3.000000000000E+00;  1.960336134454E+00;  0.000000000000E+00;  1.512563624711E+02;  2.838135601951E+01; -9.324660491943E+01;  1.501066436768E+02;  2.191668227554E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -2.353232574463E+01;  2.353234863281E+01; -5.174538877205E-08;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -7.381896972656E-01;  3.233102798462E+00;  2.368258456135E-01;  9.837246093750E+03;  1.007380273438E+04;  9.992916492253E+03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -3.231389999390E+00;  2.946379423141E+00; -7.033258107318E-02;  1.000000000000E+04;  1.000000000000E+04;  1.000000000000E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  9.936141601563E+03;  1.000065917969E+04;  9.987352190783E+03;  0.000000000000E+00;  2.663395657974E+00;  4.738031829186E-01; -8.655120730400E-01;  2.582781076431E+00;  1.225258731426E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -3.128594160080E-02;  6.503217220306E-01;  1.142999721913E-01;  0.000000000000E+00;  3.024281835938E+04;  5.702468158305E+03;
9;  9.115761499656E-03;2975; -2.199999988079E-01;  2.279999971390E+00;  7.239809585058E-01;  9.999999776483E-03;  9.999999776483E-03;  9.999999776483E-03; -4.199999868870E-01;  4.000000059605E-01; -1.411764684872E-04;  0.000000000000E+00;  2.974000000000E+03;  1.487000000000E+03;  0.000000000000E+00;  4.155106083986E-01;  1.273030775366E-01; -3.727952837944E-01;  4.104682803154E-01;  4.996460658428E-03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -9.340228885412E-02;  9.340228140354E-02;  3.307102150673E-10;  1.000000000000E+03;  1.017275512695E+03;  1.004115185157E+03;  4.000000059605E-01;  4.111767709255E-01;  4.021606771084E-01;  0.000000000000E+00;  1.431167773438E+04;  3.377683888771E+03;  0.000000000000E+00;  3.000000000000E+00;  1.960336134454E+00;  0.000000000000E+00;  1.662611289790E+02;  3.130117864299E+01; -9.351625061035E+01;  1.657058868408E+02;  2.801816191078E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -4.139496612549E+01;  4.139500427246E+01; -8.883139000180E-09;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -8.369119763374E-01;  3.543263435364E+00;  2.567620379303E-01;  9.781970703125E+03;  1.009267675781E+04;  9.989921082918E+03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -3.938287496567E+00;  3.474308252335E+00; -8.975631075245E-02;  1.000000000000E+04;  1.000000000000E+04;  1.000000000000E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  9.926115234375E+03;  1.000117285156E+04;  9.985095671612E+03;  0.000000000000E+00;  3.186730633188E+00;  5.587657011020E-01; -9.894414544106E-01;  3.164092540741E+00;  1.561808717598E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -4.324648529291E-02;  4.113556146622E-01;  1.005811664892E-01;  0.000000000000E+00;  3.534710546875E+04;  6.794974831205E+03;
